id	title	authors_short	authors_full	year	journal	volume	issue	pages	url	doi
Wang_2017	Hepatitis B virus pre-existing drug resistant mutation is related to the genotype and disease progression.	Wang et al.	L. Wang, F. Han, H. Duan, F. Ji, X. Yan, Y. Fan and K. Wang	2017	J Infect Dev Ctries	11		727-732		https://doi.org/10.3855/jidc.9021
Perazzo_2015	Hepatitis B Virus (HBV) and S-Escape Mutants: From the Beginning until Now	Perazzo et al.	P. Perazzo, N. Eguibar, R. H. Gonzalez, A. D. Nusblat and M. L. Cuestas	2015	J. Hum. Virol. Retrovirol.	2	3	00046		https://doi.org/10.15406/jhvrv.2015.02.00046
30080852	A systematic review of hepatitis B virus (HBV) drug and vaccine escape mutations in Africa: A call for urgent action.	Mokaya et al.	J. Mokaya, A. L. McNaughton, M. J. Hadley, A. Beloukas, A. M. Geretti, D. Goedhals and P. C. Matthews	2018	PLoS Negl Trop Dis	12	8	e0006629		https://doi.org/10.1371/journal.pntd.0006629
29462187	Genotyping and sero-virological characterization of hepatitis B virus (HBV) in blood donors, Southern Ethiopia.	Ambachew et al.	H. Ambachew, M. Zheng, F. Pappoe, J. Shen and Y. Xu	2018	PLoS ONE	13	2	e0193177		https://doi.org/10.1371/journal.pone.0193177
29016603	Characterization of hepatitis B virus in Amerindian children and mothers from Amazonas State, Colombia.	Jaramillo et al.	C. M. Jaramillo, F. de La Hoz, A. Porras, D. di Filippo, L. A. Choconta-Piraquive, E. Payares, N. Montes and M. C. Navas	2017	PLoS ONE	12	10	e0181643		https://doi.org/10.1371/journal.pone.0181643
28939157	Molecular evolution of hepatitis B vaccine escape variants in China, during 2000-2016.	Wang et al.	J. Wang, J. Qiu, Y. Zhu, H. Zhou, L. Yu, Y. Ding, L. Zhang, Z. Guo and C. Dong	2017	Vaccine	35	43	5808-5813		https://doi.org/10.1016/j.vaccine.2017.09.030
26755866	Overview of hepatitis B virus mutations and their implications in the management of infection.	Caligiuri et al.	P. Caligiuri, R. Cerruti, G. Icardi and B. Bruzzone	2016	World J. Gastroenterol.	22	1	145-54		https://doi.org/10.3748/wjg.v22.i1.145
25483515	Hepatitis B vaccination.	Romanò et al.	L. Romanò, S. Paladini, C. Galli, G. Raimondo, T. Pollicino and A. R. Zanetti	2015	Hum Vaccin Immunother	11	1	53-7		https://doi.org/10.4161/hv.34306
20382061	Monitoring of hepatitis B virus surface antigen escape mutations and concomitantly nucleos(t)ide analog resistance mutations in Turkish patients with chronic hepatitis B.	Sayan et al.	M. Sayan, O. Sentürk, S. Ç. Akhan, S. Hülagü and M. B. Cekmen	2010	Int. J. Infect. Dis.	14 Suppl 3		e136-41		https://doi.org/10.1016/j.ijid.2009.11.039
29740207	Development of tenofovir disoproxil fumarate resistance after complete viral suppression in a patient with treatment-naïve chronic hepatitis B: A case report and review of the literature.	Cho et al.	W. H. Cho, H. J. Lee, K. B. Bang, S. B. Kim and I. H. Song	2018	World J. Gastroenterol.	24	17	1919-1924		https://doi.org/10.3748/wjg.v24.i17.1919
29713126	Naturally occurring hepatitis B virus reverse transcriptase mutations related to potential antiviral drug resistance and liver disease progression.	Choi et al.	Y. M. Choi, S. Y. Lee and B. J. Kim	2018	World J. Gastroenterol.	24	16	1708-1724		https://doi.org/10.3748/wjg.v24.i16.1708
29093313	Profile of Mutations in the Reverse Transcriptase and Overlapping Surface Genes of Hepatitis B Virus (HBV) in Treatment-Naïve Indonesian HBV Carriers.	Yamani et al.	L. N. Yamani, Y. Yano, T. Utsumi, W. Wasityastuti, H. T. Rinonce, D. I. Widasari, Juniastuti, M. I. Lusida, Soetjipto and Y. Hayashi	2017	Jpn. J. Infect. Dis.	70	6	647-655		https://doi.org/10.7883/yoken.JJID.2017.078
28581155	Prevalence of hepatitis B antiviral drug resistance variants in North American patients with chronic hepatitis B not receiving antiviral treatment.	Lok et al.	A. S. Lok, L. Ganova-Raeva, Y. Cloonan, L. Punkova, H. S. Lin, W. M. Lee, M. G. Ghany and Hepatitis B Research Network (HBRN)	2017	J. Viral Hepat.	24	11	1032-1042		https://doi.org/10.1111/jvh.12732
28183162	Management of Antiviral Resistance in Chronic Hepatitis B.	Lim	Y. S. Lim	2017	Gut Liver	11	2	189-195		https://doi.org/10.5009/gnl15562
27694733	Monitoring of genotypic resistance profile in chronic hepatitis B patients receiving nucleos(t)ide analogues in Huzhou, China.	Qian et al.	F. Qian, J. Qin, D. Li, Z. Ma, H. Zhang, F. Jin and W. Wang	2016	J Infect Dev Ctries	10	9	996-1002		https://doi.org/10.3855/jidc.8020
27492206	Different Variants in Reverse Transcriptase Domain Determined by Ultra-deep Sequencing in Treatment-naïve and Treated Indonesian Patients Infected with Hepatitis B Virus.	Wasityastuti et al.	W. Wasityastuti, Y. Yano, D. I. Widasari, L. N. Yamani, N. Ratnasari, D. S. Heriyanto, R. Okada, T. Tanahashi, Y. Murakami, T. Azuma and Y. Hayashi	2016	Kobe J Med Sci	62	1	E1-8		
26309637	Detection and analysis of resistance mutations of hepatitis B virus.	He et al.	X. He, F. Wang, B. Huang, P. Chen and L. Zhong	2015	Int J Clin Exp Med	8	6	9630-9		
26136470	Combined Analysis of the Prevalence of Drug-Resistant Hepatitis B Virus in Antiviral Therapy-Experienced Patients in Europe (CAPRE).	Hermans et al.	L. E. Hermans, V. Svicher, S. D. Pas, R. Salpini, M. Alvarez, Z. Ben Ari, G. Boland, B. Bruzzone, N. Coppola, C. Seguin-Devaux, T. Dyda, F. Garcia, R. Kaiser, S. Köse, H. Krarup, I. Lazarevic, M. M. Lunar, S. Maylin, V. Micheli, O. Mor, S. Paraschiv, D. Paraskevis, M. Poljak, E. Puchhammer-Stöckl, F. Simon, M. Stanojevic, K. Stene-Johansen, N. Tihic, P. Trimoulet, J. Verheyen, A. Vince, N. Weis, T. Yalcinkaya, S. Z. Lepej, C. Perno, C. A. Boucher, A. M. Wensing and HEPVIR Working Group of the European Society for Translational Antiviral Research	2016	J. Infect. Dis.	213	1	39-48		https://doi.org/10.1093/infdis/jiv363
25493022	Resistant mutants induced by adefovir dipivoxil in hepatitis B virus isolates.	Jiang et al.	S. W. Jiang, L. P. Yao, A. R. Hu, Y. R. Hu, S. X. Chen, T. Xiong, G. S. Gao, X. Y. Liang, S. X. Ding and P. J. Weng	2014	World J. Gastroenterol.	20	45	17100-6		https://doi.org/10.3748/wjg.v20.i45.17100
24835494	Molecular epidemiology and genotyping of hepatitis B virus of HBsAg-positive patients in Oman.	Al Baqlani et al.	S. A. Al Baqlani, B. T. Sy, B. A. Ratsch, K. Al Naamani, S. Al Awaidy, S. A. Busaidy, G. Pauli and C. T. Bock	2014	PLoS ONE	9	5	e97759		https://doi.org/10.1371/journal.pone.0097759
24790911	Analysis of reverse transcriptase gene mutations in the hepatitis B virus at a university hospital in Korea.	Lee et al.	A. J. Lee, C. H. Lee and C. H. Jeon	2014	Ann Lab Med	34	3	230-4		https://doi.org/10.3343/alm.2014.34.3.230
24630522	Analysis of potential antiviral resistance mutation profiles within the HBV reverse transcriptase in untreated chronic hepatitis B patients using an ultra-deep pyrosequencing method.	Ciftci et al.	S. Ciftci, F. Keskin, A. Cakiris, F. Akyuz, B. Pinarbasi, N. Abaci, E. Dincer, S. Badur, S. Kaymakoglu and D. Ustek	2014	Diagn. Microbiol. Infect. Dis.	79	1	25-30		https://doi.org/10.1016/j.diagmicrobio.2014.01.005
24016777	Hepatitis B antivirals and resistance.	Devi and Locarnini	U. Devi and S. Locarnini	2013	Curr Opin Virol	3	5	495-500		https://doi.org/10.1016/j.coviro.2013.08.006
23458519	Telbivudine treatment in chronic hepatitis B: experience from China.	You and Jia	H. You and J. Jia	2013	J. Viral Hepat.	20 Suppl 1		3-8		https://doi.org/10.1111/jvh.12058
23409946	Characterization of antiviral resistance mutations among the Eastern Indian Hepatitis B virus infected population.	Panigrahi et al.	R. Panigrahi, A. Biswas, B. K. De, S. Chakrabarti and R. Chakravarty	2013	Virol. J.	10		56		https://doi.org/10.1186/1743-422X-10-56
21920388	Characterization of drug-resistance mutations in HBV D-genotype chronically infected patients, naïve to antiviral drugs.	Salpini et al.	R. Salpini, V. Svicher, V. Cento, C. Gori, A. Bertoli, F. Scopelliti, V. Micheli, T. Cappiello, A. Spanò, G. Rizzardini, G. M. De Sanctis, C. Sarrecchia, M. Angelico and C. F. Perno	2011	Antiviral Res.	92	2	382-5		https://doi.org/10.1016/j.antiviral.2011.08.013
21915864	Lamivudine resistance mutations in European patients with hepatitis B and patients co-infected with HIV and hepatitis B.	Taramasso et al.	L. Taramasso, P. Caligiuri, A. Di Biagio, B. Bruzzone, R. Rosso, G. Icardi and C. Viscoli	2011	J. Med. Virol.	83	11	1905-8		https://doi.org/10.1002/jmv.22192
20674805	Antiviral drug resistance: mechanisms and clinical implications.	Strasfeld and Chou	L. Strasfeld and S. Chou	2010	Infect. Dis. Clin. North Am.	24	3	809-33		https://doi.org/10.1016/j.idc.2010.07.001
20586936	rtE218G, a novel hepatitis B virus mutation with resistance to adefovir dipivoxil in patients with chronic hepatitis B.	Liu et al.	L. J. Liu, J. H. Wang, S. C. Du, J. H. Tian, R. F. Yang and L. Wei	2010	J. Viral Hepat.	17 Suppl 1		66-72		https://doi.org/10.1111/j.1365-2893.2010.01273.x
20034521	Characterization of potential antiviral resistance mutations in hepatitis B virus reverse transcriptase sequences in treatment-naïve Chinese patients.	Liu et al.	B. M. Liu, T. Li, J. Xu, X. G. Li, J. P. Dong, P. Yan, J. X. Yang, L. Yan, Z. Y. Gao, W. P. Li, X. W. Sun, Y. H. Wang, X. J. Jiao, C. S. Hou and H. Zhuang	2010	Antiviral Res.	85	3	512-9		https://doi.org/10.1016/j.antiviral.2009.12.006
19737565	Hepatitis B virus resistance to nucleos(t)ide analogues.	Zoulim and Locarnini	F. Zoulim and S. Locarnini	2009	Gastroenterology	137	5	1593-608.e1-2		https://doi.org/10.1053/j.gastro.2009.08.063
19399794	Antiviral resistance and hepatitis B therapy.	Ghany and Doo	M. G. Ghany and E. C. Doo	2009	Hepatology	49	5 Suppl	S174-84		https://doi.org/10.1002/hep.22900
21686872	Polymorphism rtQ215H in primary resistance to adefovir dipivoxil in hepatitis B virus infection: a case report.	Micco et al.	L. Micco, S. Fiorino, E. Loggi, S. Lorenzini, G. Vitale, C. Cursaro, A. Riili, M. Bernardi and P. Andreone	2009	BMJ Case Rep	2009				https://doi.org/10.1136/bcr.06.2008.0287
18435459	Comprehensive evaluation of hepatitis B virus reverse transcriptase substitutions associated with entecavir resistance.	Baldick et al.	C. J. Baldick, D. J. Tenney, C. E. Mazzucco, B. J. Eggers, R. E. Rose, K. A. Pokornowski, C. F. Yu and R. J. Colonno	2008	Hepatology	47	5	1473-82		https://doi.org/10.1002/hep.22211
17178796	Two-year assessment of entecavir resistance in Lamivudine-refractory hepatitis B virus patients reveals different clinical outcomes depending on the resistance substitutions present.	Tenney et al.	D. J. Tenney, R. E. Rose, C. J. Baldick, S. M. Levine, K. A. Pokornowski, A. W. Walsh, J. Fang, C. F. Yu, S. Zhang, C. E. Mazzucco, B. Eggers, M. Hsu, M. J. Plym, P. Poundstone, J. Yang and R. J. Colonno	2007	Antimicrob. Agents Chemother.	51	3	902-11		https://doi.org/10.1128/AAC.00833-06
